cliente;proyecto;espacio en disco;tamaño de disco;region AWS
dtv;tabsfb;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/dtv-ar-tabsfb
lactacyd;encuesta;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-encuesta
3m;consumounitek;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/3m-co-consumounitek
avon;naturalsx4;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-ar-naturalsx4
lactacyd;verano;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-verano
amalaya;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/amalaya-ar-smm
irsa;altoavellanedasmm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-altoavellanedasmm
adidas;concursozico;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-co-concursozico
adidas;championsleague2012;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-pe-championsleague2012
santander;comunidadmujeres;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-ar-comunidadmujeres
adidas;microrealmadrid;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-lat-microrealmadrid
carlsberg;piezasfee2013;0;150GB;EU (Ireland) Region;/var/sites/tray02/projects/carlsberg-es-piezasfee2013
discovery;network;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/discovery-rg-network
protectia;fee;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/protectia-ar-fee
entel;camarinhincha;0;150GB;No entry dicionary;/var/sites/tray02/projects/entel-cl-camarinhincha
adidas;Kinect;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-Kinect
3m;gala;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/2014/3m-rg-gala
irsa;promocine2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-promocine2012
avon;skincareredisenio2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-rg-skincareredisenio2013
laserenisima;lecheynutricion2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/laserenisima-ar-lecheynutricion2013
irsa;altoavellanedaInstitucional;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-altoavellanedaInstitucional
adidas;afaformatuequipo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-afaformatuequipo
lactacyd;tabfacebook;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-tabfacebook
adidas;originalsapertura2012;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ec-originalsapertura2012
hysosh;butacas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/hysosh-ar-butacas
irsa;cuponparuolo2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-cuponparuolo2012
merck;msdcaribe;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/merck-mx-msdcaribe
adidas;pieldeleonas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/2014/adidas-ar-pieldeleonas
amalaya;concurso;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/amalaya-ar-concurso
brandigital;10anios;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/brandigital-ar-10anios
adidas;creatucamiseta;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ve-creatucamiseta
irsa;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-smm
avon;regalaunbeso2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-ar-regalaunbeso2013
adidas;elorgullodeserpincha;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-arg-elorgullodeserpincha
experian;landingreferidos;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/experian-co-landingreferidos
mentaschao;appfrescura;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/2014/mentaschao-co-appfrescura
beldent;camion;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-camion
adidas;quinielafvf;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ve-quinielafvf
proyectosespn;microanunciante;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/proyectosespn-ar-microanunciante
priceless;coldplay;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/priceless-mx-coldplay
lactacyd;tabnuevocomercial;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-tabnuevocomercial
emi;jbalvin;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/emi-co-jbalvin
adidas;running2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-running2012
mastercard;siteinstitucional2014;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-mx-siteinstitucional2014
adidas;camiseta2011;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-camiseta2011
hewlettpackard;picmaker;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/2014/hewlettpackard-rg-picmaker
